fare_id,price,currency_type,payment_method
month-kmzone4-Abbotsdale-De Grendel,280.0,R,0
month-kmzone4-De Grendel-Abbotsdale,280.0,R,0
single-kmzone1-Abbotsdale-Diepriver,10.0,R,0
single-kmzone1-Diepriver-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Diepriver,20.0,R,0
return-kmzone1-Diepriver-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Diepriver,60.0,R,0
monfri-week-kmzone1-Diepriver-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Diepriver,75.0,R,0
monsat-week-kmzone1-Diepriver-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Diepriver,180.0,R,0
month-kmzone1-Diepriver-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Du Toit,10.0,R,0
single-kmzone1-Du Toit-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Du Toit,20.0,R,0
return-kmzone1-Du Toit-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Du Toit,60.0,R,0
monfri-week-kmzone1-Du Toit-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Du Toit,75.0,R,0
monsat-week-kmzone1-Du Toit-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Du Toit,180.0,R,0
month-kmzone1-Du Toit-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Eersteriver,10.0,R,0
single-kmzone1-Eersteriver-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Eersteriver,20.0,R,0
return-kmzone1-Eersteriver-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Eersteriver,60.0,R,0
monfri-week-kmzone1-Eersteriver-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Eersteriver,75.0,R,0
monsat-week-kmzone1-Eersteriver-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Eersteriver,180.0,R,0
month-kmzone1-Eersteriver-Abbotsdale,180.0,R,0
single-kmzone4-Abbotsdale-Eikenfontein,15.0,R,0
single-kmzone4-Eikenfontein-Abbotsdale,15.0,R,0
return-kmzone4-Abbotsdale-Eikenfontein,30.0,R,0
return-kmzone4-Eikenfontein-Abbotsdale,30.0,R,0
monfri-week-kmzone4-Abbotsdale-Eikenfontein,90.0,R,0
monfri-week-kmzone4-Eikenfontein-Abbotsdale,90.0,R,0
monsat-week-kmzone4-Abbotsdale-Eikenfontein,120.0,R,0
monsat-week-kmzone4-Eikenfontein-Abbotsdale,120.0,R,0
month-kmzone4-Abbotsdale-Eikenfontein,280.0,R,0
month-kmzone4-Eikenfontein-Abbotsdale,280.0,R,0
single-kmzone4-Abbotsdale-Elsiesrivier,15.0,R,0
single-kmzone4-Elsiesrivier-Abbotsdale,15.0,R,0
return-kmzone4-Abbotsdale-Elsiesrivier,30.0,R,0
return-kmzone4-Elsiesrivier-Abbotsdale,30.0,R,0
monfri-week-kmzone4-Abbotsdale-Elsiesrivier,90.0,R,0
monfri-week-kmzone4-Elsiesrivier-Abbotsdale,90.0,R,0
monsat-week-kmzone4-Abbotsdale-Elsiesrivier,120.0,R,0
monsat-week-kmzone4-Elsiesrivier-Abbotsdale,120.0,R,0
month-kmzone4-Abbotsdale-Elsiesrivier,280.0,R,0
month-kmzone4-Elsiesrivier-Abbotsdale,280.0,R,0
single-kmzone1-Abbotsdale-Esplanade,10.0,R,0
single-kmzone1-Esplanade-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Esplanade,20.0,R,0
return-kmzone1-Esplanade-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Esplanade,60.0,R,0
monfri-week-kmzone1-Esplanade-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Esplanade,75.0,R,0
monsat-week-kmzone1-Esplanade-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Esplanade,180.0,R,0
month-kmzone1-Esplanade-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Faure,10.0,R,0
single-kmzone1-Faure-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Faure,20.0,R,0
return-kmzone1-Faure-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Faure,60.0,R,0
monfri-week-kmzone1-Faure-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Faure,75.0,R,0
monsat-week-kmzone1-Faure-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Faure,180.0,R,0
month-kmzone1-Faure-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Firgrove,10.0,R,0
single-kmzone1-Firgrove-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Firgrove,20.0,R,0
return-kmzone1-Firgrove-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Firgrove,60.0,R,0
