fare_id,origin_id,destination_id
single-kmzone1-Abbotsdale-Faure,Abbotsdale,Faure
single-kmzone1-Faure-Abbotsdale,Faure,Abbotsdale
return-kmzone1-Abbotsdale-Faure,Abbotsdale,Faure
return-kmzone1-Faure-Abbotsdale,Faure,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Faure,Abbotsdale,Faure
monfri-week-kmzone1-Faure-Abbotsdale,Faure,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Faure,Abbotsdale,Faure
monsat-week-kmzone1-Faure-Abbotsdale,Faure,Abbotsdale
month-kmzone1-Abbotsdale-Faure,Abbotsdale,Faure
month-kmzone1-Faure-Abbotsdale,Faure,Abbotsdale
single-kmzone1-Abbotsdale-Firgrove,Abbotsdale,Firgrove
single-kmzone1-Firgrove-Abbotsdale,Firgrove,Abbotsdale
return-kmzone1-Abbotsdale-Firgrove,Abbotsdale,Firgrove
return-kmzone1-Firgrove-Abbotsdale,Firgrove,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Firgrove,Abbotsdale,Firgrove
monfri-week-kmzone1-Firgrove-Abbotsdale,Firgrove,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Firgrove,Abbotsdale,Firgrove
monsat-week-kmzone1-Firgrove-Abbotsdale,Firgrove,Abbotsdale
month-kmzone1-Abbotsdale-Firgrove,Abbotsdale,Firgrove
month-kmzone1-Firgrove-Abbotsdale,Firgrove,Abbotsdale
single-kmzone3-Abbotsdale-Fisantkraal,Abbotsdale,Fisantkraal
single-kmzone3-Fisantkraal-Abbotsdale,Fisantkraal,Abbotsdale
return-kmzone3-Abbotsdale-Fisantkraal,Abbotsdale,Fisantkraal
return-kmzone3-Fisantkraal-Abbotsdale,Fisantkraal,Abbotsdale
monfri-week-kmzone3-Abbotsdale-Fisantkraal,Abbotsdale,Fisantkraal
monfri-week-kmzone3-Fisantkraal-Abbotsdale,Fisantkraal,Abbotsdale
monsat-week-kmzone3-Abbotsdale-Fisantkraal,Abbotsdale,Fisantkraal
monsat-week-kmzone3-Fisantkraal-Abbotsdale,Fisantkraal,Abbotsdale
month-kmzone3-Abbotsdale-Fisantkraal,Abbotsdale,Fisantkraal
month-kmzone3-Fisantkraal-Abbotsdale,Fisantkraal,Abbotsdale
single-kmzone1-Abbotsdale-Glencairn,Abbotsdale,Glencairn
single-kmzone1-Glencairn-Abbotsdale,Glencairn,Abbotsdale
return-kmzone1-Abbotsdale-Glencairn,Abbotsdale,Glencairn
return-kmzone1-Glencairn-Abbotsdale,Glencairn,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Glencairn,Abbotsdale,Glencairn
monfri-week-kmzone1-Glencairn-Abbotsdale,Glencairn,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Glencairn,Abbotsdale,Glencairn
monsat-week-kmzone1-Glencairn-Abbotsdale,Glencairn,Abbotsdale
month-kmzone1-Abbotsdale-Glencairn,Abbotsdale,Glencairn
month-kmzone1-Glencairn-Abbotsdale,Glencairn,Abbotsdale
single-kmzone1-Abbotsdale-Goodwood,Abbotsdale,Goodwood
single-kmzone1-Goodwood-Abbotsdale,Goodwood,Abbotsdale
return-kmzone1-Abbotsdale-Goodwood,Abbotsdale,Goodwood
return-kmzone1-Goodwood-Abbotsdale,Goodwood,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Goodwood,Abbotsdale,Goodwood
monfri-week-kmzone1-Goodwood-Abbotsdale,Goodwood,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Goodwood,Abbotsdale,Goodwood
monsat-week-kmzone1-Goodwood-Abbotsdale,Goodwood,Abbotsdale
month-kmzone1-Abbotsdale-Goodwood,Abbotsdale,Goodwood
month-kmzone1-Goodwood-Abbotsdale,Goodwood,Abbotsdale
single-kmzone1-Abbotsdale-Gouda,Abbotsdale,Gouda
single-kmzone1-Gouda-Abbotsdale,Gouda,Abbotsdale
return-kmzone1-Abbotsdale-Gouda,Abbotsdale,Gouda
return-kmzone1-Gouda-Abbotsdale,Gouda,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Gouda,Abbotsdale,Gouda
monfri-week-kmzone1-Gouda-Abbotsdale,Gouda,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Gouda,Abbotsdale,Gouda
monsat-week-kmzone1-Gouda-Abbotsdale,Gouda,Abbotsdale
month-kmzone1-Abbotsdale-Gouda,Abbotsdale,Gouda
month-kmzone1-Gouda-Abbotsdale,Gouda,Abbotsdale
single-kmzone1-Abbotsdale-Harfield Road,Abbotsdale,Harfield Road
single-kmzone1-Harfield Road-Abbotsdale,Harfield Road,Abbotsdale
return-kmzone1-Abbotsdale-Harfield Road,Abbotsdale,Harfield Road
return-kmzone1-Harfield Road-Abbotsdale,Harfield Road,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Harfield Road,Abbotsdale,Harfield Road
monfri-week-kmzone1-Harfield Road-Abbotsdale,Harfield Road,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Harfield Road,Abbotsdale,Harfield Road
monsat-week-kmzone1-Harfield Road-Abbotsdale,Harfield Road,Abbotsdale
month-kmzone1-Abbotsdale-Harfield Road,Abbotsdale,Harfield Road
month-kmzone1-Harfield Road-Abbotsdale,Harfield Road,Abbotsdale
single-kmzone1-Abbotsdale-Hazendal,Abbotsdale,Hazendal
single-kmzone1-Hazendal-Abbotsdale,Hazendal,Abbotsdale
return-kmzone1-Abbotsdale-Hazendal,Abbotsdale,Hazendal
return-kmzone1-Hazendal-Abbotsdale,Hazendal,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Hazendal,Abbotsdale,Hazendal
