shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
sth_line_shape_back,-33.973814156,18.467680363,42
sth_line_shape_back,-33.976198801,18.467128466,43
sth_line_shape_back,-33.978080972,18.467004232,44
sth_line_shape_back,-33.978988364,18.466899041,45
sth_line_shape_back,-33.980200596,18.466956438,46
sth_line_shape_back,-33.981686622,18.467113376,47
sth_line_shape_back,-33.983055688,18.467594164,48
sth_line_shape_back,-33.984530106,18.46846352,49
sth_line_shape_back,-33.98658717,18.470073697,50
sth_line_shape_back,-33.988377646,18.471422787,51
sth_line_shape_back,-33.990551694,18.472437245,52
sth_line_shape_back,-33.993338256,18.4727385,53
sth_line_shape_back,-33.996472393,18.473082669,54
sth_line_shape_back,-33.99887076,18.473292281,55
sth_line_shape_back,-34.000852915,18.473141172,56
sth_line_shape_back,-34.002534654,18.472608125,57
sth_line_shape_back,-34.004761708,18.471209345,58
sth_line_shape_back,-34.00616658,18.470649728,59
sth_line_shape_back,-34.008811985,18.470247681,60
sth_line_shape_back,-34.010164924,18.470278025,61
sth_line_shape_back,-34.011910595,18.47019347,62
sth_line_shape_back,-34.013153313,18.470477983,63
sth_line_shape_back,-34.01398509,18.470778697,64
sth_line_shape_back,-34.015160793,18.471107404,65
sth_line_shape_back,-34.015622861,18.471204762,66
sth_line_shape_back,-34.021915477,18.469743675,67
sth_line_shape_back,-34.023725223,18.469281347,68
sth_line_shape_back,-34.030094393,18.46884092,69
sth_line_shape_back,-34.031078962,18.468614982,70
sth_line_shape_back,-34.031673648,18.468335874,71
sth_line_shape_back,-34.033029987,18.467733717,72
sth_line_shape_back,-34.034970133,18.467209412,73
sth_line_shape_back,-34.036808428,18.466528324,74
sth_line_shape_back,-34.03786469,18.466353711,75
sth_line_shape_back,-34.039525306,18.466323799,76
sth_line_shape_back,-34.040724088,18.466356581,77
sth_line_shape_back,-34.04271874,18.466414265,78
sth_line_shape_back,-34.043451597,18.46634212,79
sth_line_shape_back,-34.045904633,18.465612263,80
sth_line_shape_back,-34.048544833,18.464923188,81
sth_line_shape_back,-34.051474304,18.464167999,82
sth_line_shape_back,-34.053907553,18.463445178,83
sth_line_shape_back,-34.055431317,18.463042256,84
sth_line_shape_back,-34.056390581,18.462932388,85
sth_line_shape_back,-34.059788415,18.463048225,86
sth_line_shape_back,-34.067979909,18.463393122,87
sth_line_shape_back,-34.075787059,18.463774399,88
sth_line_shape_back,-34.079316019,18.463279379,89
sth_line_shape_back,-34.087317641,18.462396348,90
sth_line_shape_back,-34.088237183,18.462538849,91
sth_line_shape_back,-34.089586076,18.462723564,92
sth_line_shape_back,-34.090410851,18.463130705,93
sth_line_shape_back,-34.093233077,18.465055014,94
sth_line_shape_back,-34.09665508,18.467264444,95
sth_line_shape_back,-34.099720509,18.468125885,96
sth_line_shape_back,-34.104647817,18.469192491,97
sth_line_shape_back,-34.107784232,18.468946067,98
sth_line_shape_back,-34.108905445,18.468328168,99
sth_line_shape_back,-34.110052775,18.467617222,100
sth_line_shape_back,-34.111695973,18.46676271,101
sth_line_shape_back,-34.113317123,18.466044506,102
sth_line_shape_back,-34.115669471,18.463057587,103
sth_line_shape_back,-34.116786454,18.461350264,104
sth_line_shape_back,-34.117909858,18.459850075,105
sth_line_shape_back,-34.119309287,18.458469698,106
sth_line_shape_back,-34.120046489,18.45773424,107
sth_line_shape_back,-34.121753122,18.45529292,108
sth_line_shape_back,-34.122875182,18.453662468,109
sth_line_shape_back,-34.124357272,18.452274562,110
sth_line_shape_back,-34.126239386,18.450130022,111
sth_line_shape_back,-34.127131246,18.448939283,112
sth_line_shape_back,-34.12755123,18.448517207,113
sth_line_shape_back,-34.128065395,18.448188745,114
sth_line_shape_back,-34.128949357,18.448106853,115
sth_line_shape_back,-34.130004971,18.448362618,116
sth_line_shape_back,-34.13080928,18.448257524,117
sth_line_shape_back,-34.131683771,18.447646436,118
sth_line_shape_back,-34.132220731,18.447044875,119
sth_line_shape_back,-34.132510427,18.446123348,120
sth_line_shape_back,-34.132550628,18.444668271,121
sth_line_shape_back,-34.132456319,18.44301624,122
sth_line_shape_back,-34.132304627,18.441819422,123
sth_line_shape_back,-34.131945886,18.440391399,124
sth_line_shape_back,-34.131827834,18.439769684,125
sth_line_shape_back,-34.131879968,18.439035279,126
sth_line_shape_back,-34.132217112,18.438179447,127
sth_line_shape_back,-34.132940022,18.436971642,128
sth_line_shape_back,-34.134133463,18.435112593,129
sth_line_shape_back,-34.135352604,18.433551908,130
sth_line_shape_back,-34.136062297,18.43311106,131
sth_line_shape_back,-34.137336325,18.432511082,132
nth_34_stellies_line_shape,-33.92248762,18.426789801,1
nth_34_stellies_line_shape,-33.924972332,18.431672042,2
nth_34_stellies_line_shape,-33.925549171,18.436068004,3
nth_34_stellies_line_shape,-33.925282366,18.442037514,4
nth_34_stellies_line_shape,-33.92543548,18.448589746,5
nth_34_stellies_line_shape,-33.926304415,18.456204353,6
nth_34_stellies_line_shape,-33.926946256,18.462321036,7
nth_34_stellies_line_shape,-33.927472742,18.467268734,8
nth_34_stellies_line_shape,-33.926817015,18.47171327,9
nth_34_stellies_line_shape,-33.924885821,18.485957698,10
